death,law,year,mt,month
1687,0,1969,1,January
1508,0,1969,2,February
1507,0,1969,3,March
1385,0,1969,4,April
1632,0,1969,5,May
1511,0,1969,6,June
1559,0,1969,7,July
1630,0,1969,8,August
1579,0,1969,9,September
1653,0,1969,10,October
2152,0,1969,11,November
2148,0,1969,12,December
1752,0,1970,1,January
1765,0,1970,2,February
1717,0,1970,3,March
1558,0,1970,4,April
1575,0,1970,5,May
1520,0,1970,6,June
1805,0,1970,7,July
1800,0,1970,8,August
1719,0,1970,9,September
2008,0,1970,10,October
2242,0,1970,11,November
2478,0,1970,12,December
2030,0,1971,1,January
1655,0,1971,2,February
1693,0,1971,3,March
1623,0,1971,4,April
1805,0,1971,5,May
1746,0,1971,6,June
1795,0,1971,7,July
1926,0,1971,8,August
1619,0,1971,9,September
1992,0,1971,10,October
2233,0,1971,11,November
2192,0,1971,12,December
2080,0,1972,1,January
1768,0,1972,2,February
1835,0,1972,3,March
1569,0,1972,4,April
1976,0,1972,5,May
1853,0,1972,6,June
1965,0,1972,7,July
1689,0,1972,8,August
1778,0,1972,9,September
1976,0,1972,10,October
2397,0,1972,11,November
2654,0,1972,12,December
2097,0,1973,1,January
1963,0,1973,2,February
1677,0,1973,3,March
1941,0,1973,4,April
2003,0,1973,5,May
1813,0,1973,6,June
2012,0,1973,7,July
1912,0,1973,8,August
2084,0,1973,9,September
2080,0,1973,10,October
2118,0,1973,11,November
2150,0,1973,12,December
1608,0,1974,1,January
1503,0,1974,2,February
1548,0,1974,3,March
1382,0,1974,4,April
1731,0,1974,5,May
1798,0,1974,6,June
1779,0,1974,7,July
1887,0,1974,8,August
2004,0,1974,9,September
2077,0,1974,10,October
2092,0,1974,11,November
2051,0,1974,12,December
1577,0,1975,1,January
1356,0,1975,2,February
1652,0,1975,3,March
1382,0,1975,4,April
1519,0,1975,5,May
1421,0,1975,6,June
1442,0,1975,7,July
1543,0,1975,8,August
1656,0,1975,9,September
1561,0,1975,10,October
1905,0,1975,11,November
2199,0,1975,12,December
1473,0,1976,1,January
1655,0,1976,2,February
1407,0,1976,3,March
1395,0,1976,4,April
1530,0,1976,5,May
1309,0,1976,6,June
1526,0,1976,7,July
1327,0,1976,8,August
1627,0,1976,9,September
1748,0,1976,10,October
1958,0,1976,11,November
2274,0,1976,12,December
1648,0,1977,1,January
1401,0,1977,2,February
1411,0,1977,3,March
1403,0,1977,4,April
1394,0,1977,5,May
1520,0,1977,6,June
1528,0,1977,7,July
1643,0,1977,8,August
1515,0,1977,9,September
1685,0,1977,10,October
2000,0,1977,11,November
2215,0,1977,12,December
1956,0,1978,1,January
1462,0,1978,2,February
1563,0,1978,3,March
1459,0,1978,4,April
1446,0,1978,5,May
1622,0,1978,6,June
1657,0,1978,7,July
1638,0,1978,8,August
1643,0,1978,9,September
1683,0,1978,10,October
2050,0,1978,11,November
2262,0,1978,12,December
1813,0,1979,1,January
1445,0,1979,2,February
1762,0,1979,3,March
1461,0,1979,4,April
1556,0,1979,5,May
1431,0,1979,6,June
1427,0,1979,7,July
1554,0,1979,8,August
1645,0,1979,9,September
1653,0,1979,10,October
2016,0,1979,11,November
2207,0,1979,12,December
1665,0,1980,1,January
1361,0,1980,2,February
1506,0,1980,3,March
1360,0,1980,4,April
1453,0,1980,5,May
1522,0,1980,6,June
1460,0,1980,7,July
1552,0,1980,8,August
1548,0,1980,9,September
1827,0,1980,10,October
1737,0,1980,11,November
1941,0,1980,12,December
1474,0,1981,1,January
1458,0,1981,2,February
1542,0,1981,3,March
1404,0,1981,4,April
1522,0,1981,5,May
1385,0,1981,6,June
1641,0,1981,7,July
1510,0,1981,8,August
1681,0,1981,9,September
1938,0,1981,10,October
1868,0,1981,11,November
1726,0,1981,12,December
1456,0,1982,1,January
1445,0,1982,2,February
1456,0,1982,3,March
1365,0,1982,4,April
1487,0,1982,5,May
1558,0,1982,6,June
1488,0,1982,7,July
1684,0,1982,8,August
1594,0,1982,9,September
1850,0,1982,10,October
1998,0,1982,11,November
2079,0,1982,12,December
1494,0,1983,1,January
1057,1,1983,2,February
1218,1,1983,3,March
1168,1,1983,4,April
1236,1,1983,5,May
1076,1,1983,6,June
1174,1,1983,7,July
1139,1,1983,8,August
1427,1,1983,9,September
1487,1,1983,10,October
1483,1,1983,11,November
1513,1,1983,12,December
1357,1,1984,1,January
1165,1,1984,2,February
1282,1,1984,3,March
1110,1,1984,4,April
1297,1,1984,5,May
1185,1,1984,6,June
1222,1,1984,7,July
1284,1,1984,8,August
1444,1,1984,9,September
1575,1,1984,10,October
1737,1,1984,11,November
1763,1,1984,12,December
